what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1368662937701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662942141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662945059
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1368662945072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662966273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662968014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662970938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662972180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662980420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662988008
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368662989804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1368662990268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368662990720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368662990977
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1368662992139
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1368662993134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368662994131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663000102
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1368663000114
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1368663008112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1368663008642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1368663009170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1368663010738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1368663011192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1368663011445
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1368663012629
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1368663013932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663017326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663021271
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1368663021283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663026058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663034851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663037995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663064608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663066538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368663097038
activated,editor,tk.eclipse.plugin.htmleditor,2.0.2,"tk.eclipse.plugin.jspeditor.editors.JSPEditor",1368663098858
